pair,hook1_type,hook1_tail_quote,hook2_type,hook2_tail_quote
CH0277+CH0278,reversal,又是近六十单位的寄神力瞬间消失。 紫黑色阴火缓缓收缩起来，核心处，隐隐凝聚出一小团漆黑如墨的小圆珠，那圆珠子表面，竟然隐隐浮现出一头白色的，长着八个脑袋的鹰头狮身兽。 而理所当然的，阴火温度也进一步提升。整个火焰温度比起之前又提升了一大截。,reversal,大阵！画师居然全员出动了！”白修神色一凝。 “那是……”黄复却是看到了远处天空密密麻麻如同墨汁般的魔物群。 “魔灾……！”白修也面色一下惨白无比。 在那无数魔物之间，漆黑如墨的阵型中，隐隐有着两只巨大银灰色眼眸，正透过空间凝视着整个白铃城。
CH0279+CH0280,crisis,然停了下来，断开吸取魔气的动作，站起身。 “他要干什么？打算离开么？不应该啊，我的魔元本身还有着强烈的诱惑力，我也没感觉到有挣脱的精神反应。”阴影之王疑惑下，继续观察。 然后他看到路胜走到祭坛缺口边，居然将整个脑袋直接塞进缺口。 嘴巴张开。,crisis,器推演出来，但由路胜命名的特殊境界。修改器推演到了这一境界后，路胜全身的血肉骨骼，大部分都逐渐演变成，和魔元极度契合的特殊结构。 这种结构极容易膨胀和缩小，并且无论是物理防御，还是对火焰，对剧毒之类的抗性都要比原先单纯的人类细胞时轻松许多。
CH0281+CH0282,crisis,上燃烧起来，照亮周围一小块的黑暗区域。 “这个量？？”忽然路胜微微一愣，感觉到一股精纯无比的特殊魔气涌入体内。 这一股魔气的总量，超过了他预计不少，差不多有他现在体内总量的百分之一。 “怎么会这么多？” 他松开巨狼尸体，任由其化为一摊黑灰。,crisis,趟可真是大手笔，连镇派之宝都拿出来护全大家。”身旁的一个派主微笑着恭维道。 “哪里，我西极院为主办者，自然各方面都力求最完善，大阵展开，也是最近听说安全问题有些不对，为了不干扰诸位雅兴，临时打开一日。”赵酯眼底闪过一丝寒光，面上依旧微笑道。
CH0283+CH0284,crisis,时期，也距离这个层次还有一步之遥。 这一步的距离，就是天差地别，难以想象的鸿沟。 但路胜完全不知道。 他只是本能的感觉魔气不够用了。 站起身，路胜视线死死盯住祭坛方向，从那个方向他感受到极其庞大的魔气，正从祭坛下的一个缺口漏洞源源不断涌出。,open,的豹头人身恶魔，居然盘成一个巨大的蛇盘，数十对眼睛盯住路胜。 “外来者，这里是魔渊，是贯穿一切，链接无数大地的魔渊，这几层都是我，古魔蛇豹莫努的领地！你居然胆敢侵入这里，肆意狩猎我的子民！”豹头人链接成的巨蛇盯着路胜，露出贪婪而凶残的神色。
CH0285+CH0286,question,目，甚至连百脉是什么都不知道。在这样的情形下，加入元魔宗，居然才几个月时间就达到了秘法中较高层次的修为。这等天才，不论是想要挖角的，还是将其视作威胁对手的，都会靠近过来打听消息。 六山子倒是岿然不动，只是不时实在不好不说话了，才发言说一句。,crisis,胜庞大身躯轰然收缩，眨眼间便凝聚成一道只有三米多的身影。 “与我融为一体吧！！” 身影头部，一张狰狞巨口猛然张开，骤然膨胀为三十多米直径，一口朝蛇豹咬去。 蛇豹面色愕然甚至还没反应过来怎么回事，眼珠映照出那道越来越近的恐怖大嘴。 噗嗤！！！
CH0287+CH0288,crisis,的卷曲魔气。 “这是……”路胜疑惑的抓起菱形晶体。 这是他吃掉蛇豹后，留在肚子里极少数不能被消化的物质。 他捏起晶体，拿近一些仔细研究。 唰！ 猛然间，晶体内一下睁开密密麻麻无数惨白眼睛。 数百只眼球陡然盯住路胜，就算是他，也心头微微一顿。,crisis,的魔元。八首魔极道杀死生物后，都会转化其生命力化为魔元，只是如今路胜一刀杀死的魔物太多太多。 密密麻麻数百，上千的黑线不断飞来，落入他手心。 纯紫色岩浆之上，遮天蔽日的黑线万流归宗般汇聚到一点。汇聚到他右掌。 仿佛他便是掌握这一切的……神！
CH0289+CH0290,crisis,，便听到身边的传道者纷纷欢呼起来，似乎巨蟹的到来带来了希望。 “大一点的魔怪？”路胜疑惑的打量着巨蟹，猛然伸出手，一把捏住对方巨钳。 咔嚓！ 一声巨响，巨钳完全来不及反应，就被他撕下来一个钳子。 巨蟹迅速反应过来，其余钳子狠狠朝着路胜夹去。,crisis, 那是一个上半身是人，下半身是巨型棕色章鱼触须的恐怖怪物。他的体型足有三十多米高，至少二十米宽。 “你……居然不逃？”路胜诡异的三瞳孔双眼盯住对方，露出诧异之色。 呼！！ 整个这一层洞窟地面，全部燃起紫色火焰。紫色火海瞬间将两者包裹在其中。
CH0291+CH0292,crisis,被封锁住。 “夙离之云……这是夙离之云！居然……居然这么多！！？”上阳九礼终于认出了这些蓝色雾气是什么。 “该死！”她面色铁青，却没想到刚出虎口，又入龙穴。 “九礼大人……我们为何要这么惧怕雾气？直接冲过去不就好……”一名上阳家精锐不解道。,crisis,王。 乌云之王还没来得及反应，便被四臂抓住。 嗷！！他痛苦的嚎叫着。一股庞大恐怖的力量瞬间传递到其身上。 嘶啦！！ 北氼庞大的体型居然一下被撕裂开来，血肉飞溅，蓝色云气爆炸。 整个秘术殿轰然垮塌，无数蓝色云气弥漫，转眼便将周围化为一片云海。
CH0293+CH0294,reversal,我在那等你！” 路胜头也不回，向后扬扬手，带人快步离开。 虽然没说什么，但能在这等危险关头带人前来找他一起走，路胜心头终究有些认同对方了。 原本他只是抱着一种利用态度利用上阳九礼，但对方在这等患难之际，还能不顾危险想到他，这就是真心对待了。,question,。 “是啊……掌兵使……魔王……”澪也不自觉的陷入沉默。其实还有一句话他没说。 在他能看到生物最强形态的现形之眼中，在看到路胜时，并不是之前那个庞大外形。 而是一道优雅，狰狞，恐怖的修长身影。那道身影身后弥漫的，是近乎无边无际的银色星空……
CH0295+CH0296,crisis,复看去。 这一看却是浑身一颤。 黄复依旧跪在地上，但双眼却是没了眼球，正不断流出灰白色如同牛奶般的大量液体。 液体急速从其脚下朝四周蔓延。 “不好！！”上阳钧猛然感觉不妙，伸手狠狠朝黄复抓去。 神兵力场骤然在他手边形成一圈圈黑白色符文链条。,crisis,过他，他才幡然清醒。 “谁杀了我老师六山子。自己滚出来。”路胜也懒得多想了，直接信步走向战场中央。 走进一边是阵法彩光，一边是魔气黑影，中间刚好有一小截空白的缓冲地段。 路胜脚步不停，步入其中，但他这一句话却是如同天雷般，骤然响遍整个战场。
CH0297+CH0298,crisis,看出了不少魔体的特征，但她压根就不敢相信。 展孔宁和展红声两兄妹也是目瞪口呆的盯着半空中的路胜。 从一米多的阴极态，变身成近二十米的巨大怪物，他们看到了全过程。展红声还好，之前有一点心理准备，展孔宁却是满脸呆滞，全然没了平日里沉稳淡定气质。,reward,我没有什么真实身份，我就是我，元魔宗首席路胜。只不过刚好特别契合元魔宗秘术罢了。一口气接连突破，达到如今境界。”路胜早就想好了怎么说。 “特别契合……难道说……您就是传说中和秘术契合度，达到完美层次的……”上阳钧似乎想到了什么，猛地睁大眼。
CH0299+CH0300,crisis,开，里面不时有黑影闪过。 “这里……就是曾经的西极院总部？”红坊白略微好奇道。 曾经她被学派驱逐追杀，如今却有机会来到学派中最强一脉的总部。就算是已经破败后的，这种感觉也难能可贵了。 “走吧，这里有很浓的魔气污染，你们跟紧点。”路胜平静道。,reward,早时候，我以为自己有问题，就没敢和老师说，只是后面发现完美契合，境界越修越快，修为越来越强，就知道不能被外人所了解。” “……真是辛苦……”六山子叹息一声。“你说你得到了其他七大魔体？” “这个已经誊抄好，随时准备给您送过来。”路胜缓缓道。
CH0301+CH0302,crisis,压在四人一鬼身上。几人顿时两眼一翻，晕倒在地。 路胜面色不变，看向白面。 “人最难对付的，是他自己。不用担心。”所以他用混乱力场稍微压一压这几位，在元魔宗的诸多秘术中，稍微引导下，就能让几人进入和自己对决的精神梦境中。 这其实是很简单的事。,crisis,过头。 “去吧。”路胜解开身上黑袍罩住上阳若，除非他想杀人，否则就算对方再诱人也没戏。 酮体被罩住后，他伸手一挥，顿时噼噼啪啪数声脆响，上阳若身上被设置的无形力量顿时被解除。 她迅速站起身，用黑袍裹紧身体，恨恨的看了眼路胜，转身便跑出房间。
CH0303+CH0304,crisis,等事……？”其实很早很早，他便对自己的身世有些猜疑。 虽然确实是毫无天赋的庸人一个，但修习元魔秘术后激发的一丝丝血脉之力，终归不是假的。 那一丝燃烧之力虽然很弱，顶多就够点个旱烟，或许下一代就会被彻底稀释到无法激发的地步，但终究是血脉之力。,crisis,至于因为他凡人帮主的身份就来拉拢他，所以这样更能看清他们的目的。 “如果目的不单纯，那就全部捏死。这一世的亲人除了养育自己的路家，其他的多了也只是费事，既然当初不要我，就没必要再来找我。”路胜对此看得很淡。比起血脉，他更看重相处和养育之恩。
CH0305+CH0306,crisis,撑不住，就体弱病死。 这根本就是秘术吸干了她身体精华，试图凝聚强化远光血脉，从而导致的灯枯油尽。 所以实际上是她害死了孙艳。 这个问题一出，路全安也略微紧张起来，仔细听着答案。 “我……我……”彻杏顿了顿，两次张嘴，都没能将后续的话说出口。,crisis,大部分人手，全部人一起离开。 大宋虽小，但中间惹的麻烦够多了。先避过魔灾再说。 路胜已经隐隐预感到，魔军似乎是一直在为魔主降临做准备。大宋即将成为魔灾最前线，这里不是久留之地。 更何况他一口气吞了那么多魔物魔王，万一被魔军发觉，那也是大仇。
CH0307+CH0308,crisis,灵联手，开启魔渊，放出无量魔气，污染一切。导致大宋八成以上的国土灭绝，所有生灵被污染，沦为魔物。上千万生灵的灵魂痛苦扭曲，又进一步牵引了那个世界大门的开启……最终导致那一位恐怖存在的降临。 这一切的一切，其实源头只是这次的万妖宫之行而决定。,crisis,切正面情绪。能够感受到的，只有痛苦。而最后的毁灭之门，我也不清楚。只是看过记载，大概知道那是打开就会释放毁灭的地方。那里有着一切的禁忌，传说当世间的某种物质，某种东西积累到一定程度时，就会有神秘存在觉醒，打开毁灭之门，净化一切，重塑一切。”
CH0309+CH0310,reversal,会再见。”她真诚的露出一个纯净完美的笑容。 路胜从未见过有人能笑得那么纯粹。看到笑容的瞬间，他仿佛置身于满是阳光的向日葵花海。 温暖，和熙，让人忍不住想要上前一把将其拥住。 没有再多说，路胜转身一步跨出，转眼便消失在原地，消失在地道拐弯处。,open,维护。 路胜借着夜色轻轻落到黑崖上，在距离小山庄还有数百米之外停了下来。 他稍微整理了下衣袍，快步朝着山庄走去。打算花钱借个地儿住一宿。能住温暖舒适的床榻，自然不愿意在野外将就。 山庄里点着温暖的灯光，两个包着厚实油纸的大灯笼不断随风摇晃。
CH0311+CH0312,open,，边角尖锐，气势不凡。 路胜不认识这个字，他只是从猎户那里学到了基本的交流用语，只会基本口语，还没法彻底融入这里。 大阴比大宋强大许多许多，他曾经在典籍上看到过少许的描述。在大宋都有魔主镇国级存在出现，更别说大阴，镇国级肯定有，而且不会少。,reward,是想要加入春阳派。 路胜从魔手书生那里得知，大阴王朝里，这样的情景很正常，所有人都尚武，就算是农家老汉都会几手庄稼把式，没练过的壮汉还不一定能打得过老人家。 正因为如此，所以三大宗门在大阴，不只是普通的武道门派，也更是无数人心中的武学圣地。
CH0313+CH0314,crisis,此时也眼看着变好起来。 冯远小眼睛四处一扫，顿时看到了林家公子身上的华丽服饰，马上明白油水上门。 “扰乱报名秩序，损害预备弟子安全，不行，嘿嘿嘿，这事有得查。”他走上前去，提起林家三公子，一边吆喝着几人过来接应，一边朝着春阳派的报名点回去。,crisis,时间推移，渐渐的，路胜有些观察出名堂了。 随着澄空子能量反应中产生的细微变化，路胜一开始没看明白，但结合前世地球对宇宙的各种猜测和模型猜想，他猛然想到了一个可能…… “难道说……他们是在……！！？”陡然间，路胜似乎想到了什么，双目猛地睁大。
CH0315+CH0316,crisis,上便看到路胜转身离开院子，朝远处走去，他还想问到时候怎么找，春阳派那么多人…… 但路胜压根就没给他询问的机会，人影明明走得不快，但转眼便没影了。 回到春阳派，路胜也开始正式的修习朝阳一气功。 第二日一早，他便和众人一起，在山崖边上集体早课。,crisis,级宗门。这样也能接触更多的这里武道体系的秘密。 听说原本的第一弟子热门人选是春阳大长老的孙子，不过没办法，谁让他挡了自己的路。只好对不住了。 他可没空慢吞吞的在下面底层熬资历。 至于这个大长老会不会碍自己的事，路胜并不担心，碍事了弄死就是。
CH0317+CH0318,crisis,死几个，别怪我没提醒你。”路胜有些不耐烦了。 林奇亚气得浑身一颤，胸口一闷差点吐血。月影宗可是最近的和春阳派齐名的武道宗门，可眼前这人居然…… “嘿嘿嘿！好大的口气！年轻人，就算李崇阳当面都不敢这么说话。” 忽然半空中一道苍老声音遥遥传来。,crisis,手。” “那我真是运气好了。”路胜远远看到有春阳派标记的马车靠过来，等着两人。知道自己这趟是真的引起春阳派上级注意了。 本来还打算把那个藏在石头堆里的年轻人干掉，不过现在也无所谓了。 区区一个虫子都算不上的小家伙，给他一千年都威胁不到自己。
CH0319+CH0320,reversal,天阴测测的，不知道谁得罪过他一样。”张开荣不满道。 路胜又和两人随口聊了几句，便带人离开院子。 重新进到长老殿处，马上有人出来接待了他，并给了路胜一张单子，上边记录了他新划分到的住址，和每月可以领取的新物资份额。 路胜顺利入住那处新的别院。,question,加上宗选拔。你们一共三人，这里，对你们而言，终究还是太小了。先去见大长老吧。”非空子摇头道，面色复杂。 路胜点点头。眼中微光一闪，这也正是他原本的目的。春阳派的规模明显不足以让他这样的绝世天才放开手脚，尽快成长。 所以上边有这决定也属当然。
CH0321+CH0322,reversal,协议过，谁也不去触碰，到底怎么回事？怎么被毁的？你可知道，那里链接着的是什么地方？？那不只是魔渊的封印！” 卡菲露出一个无奈沮丧表情。 “我很遗憾陛下。解开封印的，是一个外表看起来像魔族的人类。我认为是修炼了魔道秘术融入了魔刃入体的人族。”,crisis,体内都或多或少有着神兵血脉的存在。”路胜隐隐已经分清楚了其中的关键。 普通人，只能成为饲料，只有血脉者，才能成为主人。大阴，更像是加强版的百脉学派。或者说，百脉学派，极有可能就是学的大阴王朝这种制度，可惜他们又没学到最精华的精气结界这一招。
CH0323+CH0324,reward,开始。”测试者高声道了句。 路胜沉吟了下，接过测试长剑。 他之前表现出来的力量，就是拘级了，这已经是资质能够表露出的极限，再高就不正常了。速度的话，也只用拘级吧，一纹左右就很足够了。 “怎么？有难处么？”边上测试者见他没动静，疑惑的问了句。,reversal,青青继续推她。 “好吧好吧……你先去躲好，姐姐一会就来找你。”费白绫无奈答应下来。 “那姐姐，青青先去藏好了哦？”费青青认真回答道。 费白绫吐了口气，随手丢掉手里的柳枝，回过头。 “咦？青青？”刚刚还在自己身后的费青青，此时忽然一下不见了。
CH0325+CH0326,reversal,都是要常人退避。这排场倒是不错了。” 路胜仔细感应了身后几辆车，都是和他一样，有一个长老带着一个年轻人一起。 张世龙长老笑了笑。 “这个是特权，但也是我们的责任。我们秋月郡分宗，除了要负责筛选精英送入宗脉外，还有着负责郡城安全方面的责任。”,crisis,出一大块缺口。 路胜提着刀施施然从缺口走出去，很快朝着纸卷上标明的方向走去，消失在扬起的灰尘中。 就在几人离开后不久，一个个双眼瞎掉，眼角还流着血的黑衣僧人，低着头双手合十，快步从大殿内走出来。 僧人分成两队，分别从围墙缺口和拱门方向追去。
CH0327+CH0328,crisis,双手掌刀全力看向他后方。 其余黑僧疯狂扑上去，狠狠将路胜抱住，包裹成一个大肉球。 就在这时，检查者下巴微微朝宝石方向示意了下。陡然间，宋都从一侧角落里冲出来，迅速将雕塑额头的蓝宝石挖出，然后冲检查者点点头，拔腿就跑。很快便消失在接到巷子里。,crisis,，一切你想要的，都不要束缚自己。否则时间久了，你会越来越扭曲。”铠甲人提醒。 “我明白……”路胜点头。他忽然明白大阴的重心在哪了。外界的开拓探索都搞不完，更别说魔帝的牵制，整个大阴的军力一直都处于不够用的状态。自然也没力量去入侵周边大国了。
CH0329+CH0330,crisis,度，也达不到植入神兵碎片的程度，首先要达到一定修为高度，还要本身就是血脉者体质，再次再用大量天材地宝强化滋养到一定高度。 植入碎片之后，每隔几个月，还需要大量的特殊资源抵消排异反应。消耗之恐怖，一般小家族顶多供养一两人，就可能会被拖垮破产。,crisis,用了一息不到的时间，便消失得无影无踪。 “……” 啪。 地面岩石炸裂开道道裂缝。 苏狞扉缓缓站起身，面无表情。 “看来是我很久没有行走在世间，让很多人忘了当年的痛苦。”她往前踏出一步，下身从黑裙中伸出，却根本不是腿，赫然是无数灰黑狰狞树根。
CH0331+CH0332,crisis,的说，路胜的一滴血，都可能疯狂吞噬腐蚀掉普通拘级的黑膜。 内功气液，硬功外道，不只是强化了他的肉身这么简单。其他拘级，虽然也有超速再生，剧毒和绝对防御等能力，但身体的真正本质活性，是没有达到这个地步的。 他们只是依靠的黑膜之力。但路胜不同。,reversal,主上前一步，朗声道。他身边那个万宗主已经开始双手拉出一道道绿光锁链，将这里四周都一处处用锁链封锁起来。 “如果我没猜错的话，路师弟所拜的老师，应该就是传说中因为一次意外才加入我千阳宗的那一位。” “那一位？”路胜无语，能不能不要这么卖关子。
CH0333+CH0334,question,似乎并没有声张出去什么，很快因为大动静引来的打探探子，慢慢减少消失。更多的是转移到了其他人身上调查。 路胜再在城里转悠了几圈，很快便利用自己的隐藏气息优势，轻松甩掉所有跟屁虫。 之后他先去药材店买了些必备药物，再到制符店买了些简易制符书籍。,crisis,动检查者袭击自己的，那还不至于，三大宗相互竞争相互扶持，但不至于相互厮杀。一旦被发现，这可是等同于叛逆的大罪。 目送着少女离去，路胜活动了下身体，回到马车把东西带起，还得早点回去修习大日明光功。 他可没工夫和这小地方的小女孩玩什么猜谜游戏。
CH0335+CH0336,reversal,天才，也不像大宋这么稀少，只要进度稍微稳妥隐蔽些，不太夸张，应该没问题。 他注意力迅速聚集到大日明光功上。 “提升到第一层。”路胜开始凝视方框。 片刻后。 嘶…… 大日明光功的方框缓缓模糊起来，数息之后，方框恢复清晰，路胜面上金色一闪即逝。,crisis,算了，反正我对环境也不是很在乎。” 重新深吸一口气，一口精气继续灌注下来。带着恶臭和砂砾杂质。 路胜瞬间顿住了。 重新睁开眼，他站起身。 “明天就清空周围所有住户。方圆两百米内，谁敢住进来我他么就弄死谁！” 嘭！ 他转身进了卧房，睡觉去了。
CH0337+CH0338,reversal,传来阵阵嬉笑声，像是有不少小孩在笑。 他猛地回过身，看到身后不知什么时候站了一个小孩子。 是个小男孩。 他面色铁青，脸上带着灿烂的笑容，双眼直直的盯着路胜。 “你……”路胜刚想问话，便突然一愣，在他眼前的小男孩就在他眨眼的瞬间，淡化消失了。,crisis,魁梧身影提着把冒着白烟的剑，缓缓走进围墙缺口。 人影赤着上身，一身肌肉如同扭曲的千年树根，盘根错节，弥漫着钢铁般的金属光泽。 最为惹眼的是，这人身上有着大量血红色网状花纹，这些花纹在黑暗中泛着清晰而血腥的残忍光晕。仿佛一条条攀爬的吸血线虫。
CH0339+CH0340,reversal,去。 路胜随手将本子丢给身后的费白绫，开始在四处转悠起来。 书架上一排排的书籍覆盖了厚厚白灰，他随意从中抽出一本，封面印着：《海难三十六大事件》。 路胜皱了皱眉，又换了本书抽出来。 《季风与洋流》。 接连换了好几本，都是和海洋航行有关的书。,crisis,，血肉飞速编制生长，在一阵稀里哗啦的轻响中，不到五息，一只全新的手掌出现在路胜身上。 “居然能对我的肉身也能刺伤……真是不得了了。”路胜很有兴趣的盯着三人手上的匕首。 至于被切断的手掌，这种东西如果他愿意，一个时辰内长出一百只手掌都没问题。
CH0341+CH0342,crisis,引起上宗注意了，秋月郡直属的上宗，是莫凌府千阳宗，那边已经正式对你传出调令。你挑选好辅修功法后，等调令抵达就可以启程了。”陈静之解释道。“当然你也可以选择留下来，就在秋月郡，但这不是好的选择，这里太小太弱，没有真灵塔，对你的成长限制太大。”,reversal,程中，元魔宗等人到了，找不到他，也是麻烦。 这么一想，他确实需要一些人手帮自己盯着外界动静。 “这么吧，云师姐若是有空，一会儿能否带路某看看合适的人手。我需要那种能保证绝对忠诚的奴隶。”路胜沉声道。 “没问题！保证师弟满意。”云万飞肯定道。
CH0343+CH0344,reversal,乖巧的神态。 上了茶，两只人面蜂就悬浮在两人身后。 啪啪。 云万飞又轻轻鼓了鼓掌。 通道内又缓缓走出两个不着片缕的一男一女，两人无论从身材到模样，都是一等一的俊俏。 只是这两人走到路胜和云万飞面前，却是屈膝跪下，转过身，将自己后背对着两人。,reversal,着的路胜。一时间她面色复杂，眼中羞赧里夹杂着庆幸。 “也是，如果不是你，或许我也得不到这么好的待遇……” “好久不见。”路胜笑了笑，“不过在叙旧之前，你还是先把衣服穿上。” 端木婉这才反应过来，赶紧蹲下身，手捂住胸前和下身，脸上羞红更浓了。
CH0345+CH0346,crisis,强行将自己的肌肉骨骼扭曲移位，然后压缩成一个畸形的状况。那样的两种形态，对他而言都是一种憋屈，根本无法发挥真实实力。 但如今就不同了。 不用任何魔元，气液，甚至不用动用八首魔极道。他真实的本体，就已经是掌兵使层面的魔王级。虽然只是下位魔王。,reversal,环境。 一口气提升这么多，等到路胜彻底完结时，外面已经天黑了。 他起身，开门走进院子，正好看到端木婉正指挥着几个下人在分配任务。 整个院落被打理得干干净净，井井有条。 地面干净整洁了许多，墙壁四处都少了污垢。一些发旧的地方也全部换成了新的。
CH0347+CH0348,crisis,重视的原因。只是没人会想到，他会这么快就到达七纹。 真气一丝一缕的注入绢帛，渐渐的，在他注入了自身约三成真气时，绢布骤然亮起一层白光。 转瞬间，白光包住路胜，猛然一缩，凝聚成拳头大小的一团光球。 噗。 光球炸开，化为无数光点缓缓淡化，消失。,question,的匕首露出一点点刀刃。那刀刃上，正有五个红点急速移动，显示着之前放出的隐形奴仆方位。 “要尽量不造成太大损伤，还是得用和平一点的手段。”路胜抽出匕首，随意挥了挥，笑了笑，“那就全部砍断手脚吧。” 反正只要活着就好，活着，就不会损失多少精气。
CH0349+CH0350,crisis,同下雨。 路胜有些错愕的看了眼远处夜空，黑光已经跑得没影了，那速度就算是他也望尘莫及。 “一个地元境的小家伙，居然有着连我也追不上的速度……有意思。”他忽然感觉原本无趣的千阳宗似乎又有了新的玩法了。 他回头看去，原本重创的墨灵也消失不见了。,crisis,面对路胜，她才明白那日那三人真正的感觉是什么。 那种如同走在钢丝上，刀刃切割脚底鲜血淋漓的感觉，不是真正面对，根本无法体会。 “我……”白鹭英有些后悔了……后悔答应那个计划。 嘶…… 如剑出鞘般的风声吹过，一时间白鹭英咬紧下唇，僵立在原处。
CH0351+CH0352,question,是六纹层次的拘级，如果自身全靠黑膜加成，而没有额外锻炼强化速度的话，一样抓不住这东西。 也就是他，七纹巅峰的速度和力量，轻轻松松便追上神兵，抓住带了回来。 这神兵其实只是镶嵌了神兵魔刃碎片的普通飞镖，但在外界那种地方，便被认为是了神兵利器。,crisis,自己放低姿态，应该能轻松揭过，解决问题，此时却没想到对方居然一句话硬打了回来。 他面色猛然一僵，就这么站在原地，一时间居然不知道作何反应了。 以他的身份地位，一个猛虎帮的副帮主，居然敢当面不给他面子？ 不只是他，就连商船上的其余人都是一呆。
CH0353+CH0354,crisis,剑撂倒。 哗。 大船断成两截，朝两侧翘了翘，激荡起大片波浪，随后才缓缓进水，下沉起来。 路胜身边的猛虎帮高手一个个面色如土，已经有些不知所措了。袁引霄被刚才的斩船一剑追上砍中，此时估计是凶多吉少。没了领头人，他们这些普通高手也就没了主心骨。,question,让路胜意外的是，这转门就和地球上酒店宾馆前面的旋转门差不多，人走进去其中一格，跟着门转动，便能直接走进内厅。 跟着四翼旋转门走进店铺，里面是呈回字形的柜台。正中间是根柱子矗立着，周围四面都是柜台，一个年轻伙计正麻利的用抹布擦着柜台上的细灰。
CH0355+CH0356,crisis,死要钱，没办法，我们千阳宗九成九的魔界交战存活率，怎么来的？还不是靠的千阳黑日大阵，可这大阵撑一天就得消耗多少资源？你们现在多交钱，以后就能有多安全。” 五人自然都不是那么容易糊弄的，都不以为然，填了表，交了钱，一起都被安排着往大殿里面走。,reversal,内院的规矩果然简单暴力。不过这样也能看出，这莫凌府的千阳宗已经腐败到了什么程度。他身边的几个所谓的内院弟子，除了有钱外，身上真气修为波动，估计连四纹都不到，还极不稳定。 要知道就连支脉当初和他争夺绯红神龙标的几个三宗弟子，都至少有四纹波动。
CH0357+CH0358,reward,没问题了，神魂虽然不足，但如果能悟通这块泥板……” 路胜凝视着泥板。仔细琢磨起上边的刀痕起来。但看了很久他也一无所获，这些刀痕看起来就和一般的刀痕没什么区别，他甚至有些怀疑是苏狞扉故意随便弄来的刀痕泥板给他看。 “深蓝。”他索性唤出修改器。,reward,先找一个所有人都必须经过的地方拦截。” “为防她易容伪装，最好把所有遇到的人都打残，之后慢慢检查。” 似乎感觉这工作量有些浩大，路胜皱了皱眉。 他最后扫了眼缚灵宗方向，已经决定直接从三宗的休息点下手。 “祈祷吧……祈祷我提前找到想找之人。”
CH0359+CH0360,reversal,看到，房屋里的地面上什么也没有。 嘭！ 又是一条手臂从后面破开墙面，抓向路胜后背。 “逐日剑第一式，云散。”路胜手腕一抖，长剑刹那间划出一团白光。反手挡住自己后心。 黑手和白光铛铛铛铛的交击出无数细碎透明真气。很快黑手如同蜡烛般被急速削碎。,crisis,来是怎么回事。 “这位师兄……您这……到底是什么意思？”一个幽铟宗的高瘦男子站出来语气不善道。“我们宫池师姐也在附近，或者我们该把您的意思给她也传过去。” “宫池？”路胜随手把长剑刺入身边的地面。“不用了，你们有求救信符么？发了让她过来。”
CH0361+CH0362,crisis,。 十多人围着一头蒙着面的巨大白色怪物不断闪躲跳跃，时而上前劈砍刺上几招，然后又马上后撤跳开。 那白色怪物脑袋成三角形，没有五官，面部只有一个硕大的黑字：佛。 怪物身高四米多，四肢细长，手臂双脚都长着倒刺和锋利的镰刀般刀刃。其动作极度敏捷。,crisis,给他了？”老者诧异道，“以前没见过你这么大方啊？” “怎么可能，我乱画了几下做了块新的而已，死寂石板怎么可能随便给人？” “上边什么内容？” “不记得了，是套普通刀招吧。” “那你要他领悟什么？？”老者无语。 “谁知道呢。”苏狞扉面色冷淡。
CH0363+CH0364,crisis,但宫师姐，您幽铟宗的实力本就比我千阳强，再加上我们什么情况您也应该知晓，不要到时候你们仗着人多势众，争夺莫凌府最强相互助力，那时谁来为我路师兄和长孙师姐考虑？”谢玉琼赶紧出言反驳，虽然宫池比她强很多，但现在有路胜撑着，千阳宗也不惧其他什么。,crisis,头。”那个讲价的千阳宗男子得意地笑道，“本来他们要八千，也不看看小爷我家里是干什么的？我几个回合就直接压价到五千。” 他得意的笑容瞬间被放大在整个镜面上，直径数十米的镜子上，顿时清晰的映照出这人的面孔。 顿时整个校场上高层们都传出一阵哄笑。
CH0365+CH0366,crisis,”他问道。 “正是，我等是缚灵宗赵……”那男子话没说完，便猛地脸色一变，往后狂退。 哧！ 一道刀光从他身侧一闪而过。路胜不知道什么时候居然闪到他身侧，雪亮的刀光从他手中炸开，不只是斩向俊美男子，还同时斩向在场的十多名缚灵宗人。刀光一闪即逝。,crisis,乎我就会给你优惠。”男子冷笑道。“要么给钱，要么去死！” 这话一出，就连孙荣极也不由得面皮扯了扯，扫了眼男子胸前的千阳宗标志，不由得颇为怪异的看了眼长孙蓝。 “你们是同门吧？？” 黎脉也是面色古怪，终于明白了什么叫“为了钱可以六亲不认”……
CH0367+CH0368,reversal,是莫凌府三宗。 府级的三宗，虽然最强的也不如他如今实力。但路胜也不轻视这些人，府级的三宗，最强者至少也有接近圣主的魔王巅峰了。也就是掌兵使级别的顶峰，和他之前差不多。这样的大高手，能够涉及到的秘法功法，数不胜数，难保会有一些能看穿他的伪装。,crisis,莫凌府千阳宗最强之人，成为掌兵使也有一千多年的老怪物。现在更是修为深不可测，谁也不知道他到了哪一步。 一下之间，他甚至感觉整个人都被声音震动得颤抖起来。他抬起头，睁开眼，却看到路胜一脸讥讽的笑容。 “废物。”他看到路胜无声的说出两个字口型。
